,mono,pdc,cdc
2235,GSE33162_HDAC3_KO_VS_HDAC3_KO_MACROPHAGE_UP,GSE29618_PRE_VS_DAY7_POST_LAIV_FLU_VACCINE_BCELL_UP,GO_AMINO_ACID_TRANSMEMBRANE_TRANSPORT
2236,GSE13522_CTRL_VS_T_CRUZI_Y_STRAIN_INF_SKIN_IFNAR_KO_UP,GSE33162_UNTREATED_VS_4H_LPS_STIM_HDAC3_KO_MACROPHAGE_UP,GSE19888_ADENOSINE_A3R_INH_VS_INH_PRETREAT_AND_ACT_WITH_TCELL_MEMBRANES_MAST_CELL_UP
2237,GSE339_CD4POS_VS_CD4CD8DN_DC_UP,GSE20715_WT_VS_TLR4_KO_48H_OZONE_LUNG_UP,GSE17721_LPS_VS_POLYIC_2H_BMDC_UP
2238,GSE27786_CD8_TCELL_VS_MONO_MAC_UP,GO_REGULATION_OF_TISSUE_REMODELING,GO_PYRIMIDINE_CONTAINING_COMPOUND_METABOLIC_PROCESS
2239,GO_NEGATIVE_REGULATION_OF_EPITHELIAL_CELL_MIGRATION,GSE2585_THYMIC_MACROPHAGE_VS_MTEC_UP,GSE2706_R848_VS_LPS_8H_STIM_DC_UP
2240,GSE1448_CTRL_VS_ANTI_VBETA5_DP_THYMOCYTE_UP,GSE20754_WT_VS_TCF1_KO_MEMORY_CD8_TCELL_UP,GSE2405_HEAT_KILLED_VS_LIVE_A_PHAGOCYTOPHILUM_STIM_NEUTROPHIL_24H_UP
2241,GSE17721_PAM3CSK4_VS_GADIQUIMOD_4H_BMDC_UP,GO_NEGATIVE_REGULATION_OF_T_CELL_PROLIFERATION,GSE3982_MAC_VS_BCELL_UP
2242,GSE17721_0.5H_VS_4H_PAM3CSK4_BMDC_UP,GSE29164_UNTREATED_VS_CD8_TCELL_TREATED_MELANOMA_DAY7_UP,GSE339_CD4POS_VS_CD4CD8DN_DC_IN_CULTURE_UP
2243,GO_POSITIVE_REGULATION_OF_GENE_EXPRESSION_EPIGENETIC,GSE17721_POLYIC_VS_GARDIQUIMOD_24H_BMDC_UP,GSE16450_IMMATURE_VS_MATURE_NEURON_CELL_LINE_6H_IFNA_STIM_UP
2244,GO_PURINE_CONTAINING_COMPOUND_CATABOLIC_PROCESS,GSE43955_1H_VS_20H_ACT_CD4_TCELL_WITH_TGFB_IL6_UP,GO_CARBOHYDRATE_TRANSPORT
2245,GSE5542_IFNG_VS_IFNA_TREATED_EPITHELIAL_CELLS_6H_UP,GSE339_EX_VIVO_VS_IN_CULTURE_CD4POS_DC_UP,GO_AXIS_SPECIFICATION
2246,GSE25502_WT_VS_KLF13_KO_THYMIC_MEMORY_LIKE_CD8_TCELL_UP,GO_RESPONSE_TO_OSMOTIC_STRESS,GSE29164_UNTREATED_VS_CD8_TCELL_AND_IL12_TREATED_MELANOMA_DAY7_UP
2247,GSE21927_UNTREATED_VS_GMCSF_GCSF_TREATED_BONE_MARROW_UP,GSE23505_IL6_IL1_IL23_VS_IL6_IL1_TGFB_TREATED_CD4_TCELL_UP,GSE12198_CTRL_VS_LOW_IL2_STIM_NK_CELL_UP
2248,GSE3982_DC_VS_MAC_UP,GSE8921_UNSTIM_VS_TLR1_2_STIM_MONOCYTE_24H_UP,GSE17974_IL4_AND_ANTI_IL12_VS_UNTREATED_72H_ACT_CD4_TCELL_UP
2249,GSE14308_NAIVE_CD4_TCELL_VS_NATURAL_TREG_UP,GO_NUCLEOTIDE_PHOSPHORYLATION,GSE21360_PRIMARY_VS_SECONDARY_MEMORY_CD8_TCELL_UP
2250,GSE36476_YOUNG_VS_OLD_DONOR_MEMORY_CD4_TCELL_16H_TSST_ACT_UP,GSE33424_CD161_HIGH_VS_NEG_CD8_TCELL_UP,GSE40068_CXCR5POS_BCL6POS_TFH_VS_CXCR5NEG_BCL6NEG_CD4_TCELL_UP
2251,GSE17721_CTRL_VS_POLYIC_12H_BMDC_UP,GSE17721_CTRL_VS_PAM3CSK4_12H_BMDC_UP,GO_EMBRYONIC_SKELETAL_SYSTEM_MORPHOGENESIS
2252,GO_PROTEIN_COMPLEX_LOCALIZATION,GSE17974_0.5H_VS_72H_IL4_AND_ANTI_IL12_ACT_CD4_TCELL_UP,GSE14350_IL2RB_KO_VS_WT_TEFF_UP
2253,GSE2706_2H_VS_8H_R848_AND_LPS_STIM_DC_UP,GO_REGULATION_OF_VASOCONSTRICTION,GSE42724_NAIVE_VS_MEMORY_BCELL_UP
2254,GSE21927_EL4_VS_MCA203_TUMOR_MONOCYTES_UP,GSE17721_CTRL_VS_LPS_12H_BMDC_UP,GSE39820_TGFBETA3_IL6_VS_TGFBETA3_IL6_IL23A_TREATED_CD4_TCELL_UP
2255,GSE37416_CTRL_VS_24H_F_TULARENSIS_LVS_NEUTROPHIL_UP,GSE26669_CTRL_VS_COSTIM_BLOCK_MLR_CD8_TCELL_UP,GSE5589_LPS_AND_IL10_VS_LPS_AND_IL6_STIM_IL10_KO_MACROPHAGE_45MIN_UP
2256,GSE29949_CD8_POS_DC_SPLEEN_VS_MONOCYTE_BONE_MARROW_UP,GSE39864_WT_VS_GATA3_KO_TREG_UP,GO_REGULATION_OF_PHAGOCYTOSIS
2257,GSE34515_CD16_NEG_VS_POS_MONOCYTE_UP,GO_CELLULAR_RESPONSE_TO_INTERLEUKIN_1,GSE29617_CTRL_VS_DAY7_TIV_FLU_VACCINE_PBMC_2008_UP
2258,GSE18281_SUBCAPSULAR_CORTICAL_REGION_VS_WHOLE_CORTEX_THYMUS_UP,GSE11864_UNTREATED_VS_CSF1_IFNG_PAM3CYS_IN_MAC_UP,GSE12845_PRE_GC_VS_DARKZONE_GC_TONSIL_BCELL_UP
2259,GSE22443_NAIVE_VS_ACT_AND_IL2_TREATED_CD8_TCELL_UP,GO_NEGATIVE_REGULATION_OF_CALCIUM_ION_TRANSPORT,GSE21063_3H_VS_16H_ANTI_IGM_STIM_NFATC1_KOBCELL_UP
2260,GSE14908_ATOPIC_VS_NONATOPIC_PATIENT_HDM_STIM_CD4_TCELL_UP,GO_REGULATION_OF_OSTEOCLAST_DIFFERENTIATION,GSE9037_CTRL_VS_LPS_4H_STIM_IRAK4_KO_BMDM_UP
2261,GO_INTRINSIC_APOPTOTIC_SIGNALING_PATHWAY_BY_P53_CLASS_MEDIATOR,GSE17974_CTRL_VS_ACT_IL4_AND_ANTI_IL12_4H_CD4_TCELL_UP,GSE10239_NAIVE_VS_KLRG1HIGH_EFF_CD8_TCELL_UP
2262,GSE25123_ROSIGLITAZONE_VS_IL4_AND_ROSIGLITAZONE_STIM_PPARG_KO_MACROPHAGE_DAY10_UP,GSE5589_WT_VS_IL10_KO_LPS_AND_IL10_STIM_MACROPHAGE_45MIN_UP,GSE21774_CD56_BRIGHT_VS_DIM_CD62L_POSITIVE_NK_CELL_UP
2263,GSE12366_PLASMA_CELL_VS_MEMORY_BCELL_UP,GSE8835_HEALTHY_VS_CLL_CD8_TCELL_UP,GSE22229_UNTREATED_VS_IMMUNOSUPP_THERAPY_RENAL_TRANSPLANT_PATIENT_PBMC_UP
2264,GO_JNK_CASCADE,GSE13306_RA_VS_UNTREATED_MEM_CD4_TCELL_UP,GSE2770_TGFB_AND_IL4_VS_IL12_TREATED_ACT_CD4_TCELL_6H_UP
2265,GSE17721_LPS_VS_CPG_0.5H_BMDC_UP,GSE29949_DC_BRAIN_VS_MONOCYTE_BONE_MARROW_UP,GO_REGULATION_OF_PATHWAY_RESTRICTED_SMAD_PROTEIN_PHOSPHORYLATION
2266,GSE1925_CTRL_VS_24H_IFNG_STIM_MACROPHAGE_UP,GO_IRON_ION_HOMEOSTASIS,GO_ENDOTHELIAL_CELL_MIGRATION
2267,GSE13306_RA_VS_UNTREATED_TREG_UP,GO_POSITIVE_REGULATION_OF_PROTEIN_POLYMERIZATION,GSE25123_CTRL_VS_ROSIGLITAZONE_STIM_PPARG_KO_MACROPHAGE_UP
2268,GSE11924_TH1_VS_TH2_CD4_TCELL_UP,GSE17721_PAM3CSK4_VS_GADIQUIMOD_16H_BMDC_UP,GSE24210_IL35_TREATED_VS_RESTING_TREG_UP
2269,GSE1740_MCSF_VS_MCSF_AND_IFNG_DAY2_DERIVED_MACROPHAGE_UP,GSE41867_LCMV_ARMSTRONG_VS_CLONE13_DAY15_EFFECTOR_CD8_TCELL_UP,GSE41867_LCMV_ARMSTRONG_VS_CLONE13_DAY8_EFFECTOR_CD8_TCELL_UP
2270,GO_REGULATION_OF_ATPASE_ACTIVITY,GSE360_L_DONOVANI_VS_B_MALAYI_LOW_DOSE_DC_UP,GO_REGULATION_OF_ACUTE_INFLAMMATORY_RESPONSE
2271,GSE8921_UNSTIM_VS_TLR1_2_STIM_MONOCYTE_3H_UP,GSE13484_UNSTIM_VS_YF17D_VACCINE_STIM_PBMC_UP,GSE13411_NAIVE_VS_SWITCHED_MEMORY_BCELL_UP
2272,GSE14000_UNSTIM_VS_16H_LPS_DC_UP,GO_REGULATION_OF_RELEASE_OF_SEQUESTERED_CALCIUM_ION_INTO_CYTOSOL,GSE10325_BCELL_VS_LUPUS_BCELL_UP
2273,GSE15659_NAIVE_CD4_TCELL_VS_RESTING_TREG_UP,GO_EPHRIN_RECEPTOR_SIGNALING_PATHWAY,GSE19772_HCMV_INFL_VS_HCMV_INF_MONOCYTES_AND_PI3K_INHIBITION_UP
2274,GO_O_GLYCAN_PROCESSING,GSE45365_NK_CELL_VS_BCELL_MCMV_INFECTION_UP,GSE3982_NEUTROPHIL_VS_TH1_UP
2275,GO_REGULATION_OF_PHOSPHOPROTEIN_PHOSPHATASE_ACTIVITY,GSE17721_PAM3CSK4_VS_CPG_24H_BMDC_UP,GSE17974_IL4_AND_ANTI_IL12_VS_UNTREATED_48H_ACT_CD4_TCELL_UP
2276,GSE1460_CORD_VS_ADULT_BLOOD_NAIVE_CD4_TCELL_UP,GSE1740_UNSTIM_VS_IFNA_STIMULATED_MCSF_IFNG_DERIVED_MACROPHAGE_UP,GSE2770_UNTREATED_VS_IL4_TREATED_ACT_CD4_TCELL_6H_UP
2277,GSE1460_CD4_THYMOCYTE_VS_THYMIC_STROMAL_CELL_UP,GSE360_T_GONDII_VS_B_MALAYI_HIGH_DOSE_DC_UP,GSE3982_EOSINOPHIL_VS_DC_UP
2278,GSE21063_WT_VS_NFATC1_KO_BCELL_UP,GO_NEGATIVE_REGULATION_OF_TRANSMEMBRANE_TRANSPORT,GSE10273_HIGH_VS_LOW_IL7_TREATED_IRF4_8_NULL_PRE_BCELL_UP
2279,GSE19941_IL10_KO_VS_IL10_KO_AND_NFKBP50_KO_LPS_STIM_MACROPHAGE_UP,GSE37416_CTRL_VS_12H_F_TULARENSIS_LVS_NEUTROPHIL_UP,GSE9037_CTRL_VS_LPS_1H_STIM_IRAK4_KO_BMDM_UP
2280,GSE17721_CTRL_VS_GARDIQUIMOD_12H_BMDC_UP,GSE21546_WT_VS_SAP1A_KO_AND_ELK1_KO_ANTI_CD3_STIM_DP_THYMOCYTES_UP,GSE7460_CTRL_VS_FOXP3_OVEREXPR_TCONV_1_UP
2281,GSE18893_CTRL_VS_TNF_TREATED_TCONV_24H_UP,GSE40685_NAIVE_CD4_TCELL_VS_FOXP3_KO_TREG_PRECURSOR_UP,GSE16385_ROSIGLITAZONE_VS_UNTREATED_IFNG_TNF_STIM_MACROPHAGE_UP
2282,GSE39152_CD103_NEG_VS_POS_MEMORY_CD8_TCELL_UP,GSE14000_4H_VS_16H_LPS_DC_UP,GSE18893_CTRL_VS_TNF_TREATED_TREG_2H_UP
2283,GSE17721_CTRL_VS_PAM3CSK4_1H_BMDC_UP,GSE360_HIGH_DOSE_B_MALAYI_VS_M_TUBERCULOSIS_DC_UP,GO_PHOSPHOLIPID_TRANSPORT
2284,GO_INTRACELLULAR_STEROID_HORMONE_RECEPTOR_SIGNALING_PATHWAY,GO_TOLL_LIKE_RECEPTOR_SIGNALING_PATHWAY,GSE3982_EFF_MEMORY_CD4_TCELL_VS_TH2_UP
2285,GSE14308_TH17_VS_NAIVE_CD4_TCELL_UP,GSE21360_PRIMARY_VS_TERTIARY_MEMORY_CD8_TCELL_UP,GSE9316_IL6_KO_VS_IFNG_KO_INVIVO_EXPANDED_CD4_TCELL_UP
2286,GSE25123_WT_VS_PPARG_KO_MACROPHAGE_IL4_STIM_UP,GSE17721_CTRL_VS_POLYIC_6H_BMDC_UP,GSE15930_NAIVE_VS_48H_IN_VITRO_STIM_IFNAB_CD8_TCELL_UP
2287,GO_PROTEIN_TARGETING_TO_MITOCHONDRION,GSE7460_CD8_TCELL_VS_TREG_ACT_UP,GSE39820_TGFBETA1_VS_TGFBETA3_IN_IL6_IL23A_TREATED_CD4_TCELL_UP
2288,GSE17721_0.5H_VS_12H_GARDIQUIMOD_BMDC_UP,GSE45365_NK_CELL_VS_BCELL_UP,GSE37416_12H_VS_48H_F_TULARENSIS_LVS_NEUTROPHIL_UP
2289,GSE2585_THYMIC_MACROPHAGE_VS_MTEC_UP,GSE23308_CTRL_VS_CORTICOSTERONE_TREATED_MACROPHAGE_UP,GO_MICROTUBULE_POLYMERIZATION
2290,GSE14769_20MIN_VS_360MIN_LPS_BMDM_UP,GSE2770_TGFB_AND_IL4_ACT_VS_ACT_CD4_TCELL_6H_UP,GSE35825_UNTREATED_VS_IFNG_STIM_MACROPHAGE_UP
2291,GSE9960_HEALTHY_VS_GRAM_POS_SEPSIS_PBMC_UP,GSE360_L_DONOVANI_VS_T_GONDII_DC_UP,GO_CARBOHYDRATE_DERIVATIVE_TRANSPORT
2292,GO_CYTOKINESIS,GSE6674_ANTI_IGM_VS_ANTI_IGM_AND_CPG_STIM_BCELL_UP,GSE37301_RAG2_KO_VS_RAG2_AND_ETS1_KO_NK_CELL_UP
2293,GSE13522_WT_VS_IFNAR_KO_SKIN_UP,GSE360_L_DONOVANI_VS_M_TUBERCULOSIS_DC_UP,GO_ORGANOPHOSPHATE_ESTER_TRANSPORT
2294,GSE17721_LPS_VS_POLYIC_16H_BMDC_UP,GSE12845_IGD_POS_VS_NEG_BLOOD_BCELL_UP,GO_REGULATION_OF_GLUCOSE_TRANSPORT
2295,GO_PROTEIN_LOCALIZATION_TO_CHROMOSOME,GSE8835_CD4_VS_CD8_TCELL_CLL_PATIENT_UP,GSE13306_TREG_VS_TCONV_UP
2296,GSE20198_UNTREATED_VS_IL12_TREATED_ACT_CD4_TCELL_UP,GSE29618_LAIV_VS_TIV_FLU_VACCINE_DAY7_MONOCYTE_UP,GSE17974_IL4_AND_ANTI_IL12_VS_UNTREATED_12H_ACT_CD4_TCELL_UP
2297,GSE33425_CD161_HIGH_VS_NEG_CD8_TCELL_UP,GSE27670_CTRL_VS_BLIMP1_TRANSDUCED_GC_BCELL_UP,GSE11864_CSF1_VS_CSF1_PAM3CYS_IN_MAC_UP
2298,GO_RETINA_HOMEOSTASIS,GO_POSITIVE_REGULATION_OF_STAT_CASCADE,GSE5455_HEALTHY_VS_TUMOR_BEARING_MOUSE_SPLEEN_MONOCYTE_24H_INCUBATION_UP
2299,GSE6674_CPG_VS_PL2_3_STIM_BCELL_UP,GSE21546_WT_VS_SAP1A_KO_AND_ELK1_KO_DP_THYMOCYTES_UP,GSE3691_IFN_PRODUCING_KILLER_DC_VS_CONVENTIONAL_DC_SPLEEN_UP
2300,GO_INNER_EAR_MORPHOGENESIS,GSE28726_NAIVE_CD4_TCELL_VS_NAIVE_NKTCELL_UP,GSE3982_DC_VS_TH1_UP
2301,GO_REGULATION_OF_CELL_CYCLE_G2_M_PHASE_TRANSITION,GSE557_CIITA_KO_VS_I_AB_KO_DC_UP,GSE22886_NAIVE_CD8_TCELL_VS_MEMORY_TCELL_UP
2302,GSE22935_UNSTIM_VS_48H_MBOVIS_BCG_STIM_MACROPHAGE_UP,GSE24972_MARGINAL_ZONE_BCELL_VS_FOLLICULAR_BCELL_IRF8_KO_UP,GO_ARACHIDONIC_ACID_METABOLIC_PROCESS
2303,GSE14769_UNSTIM_VS_360MIN_LPS_BMDM_UP,GO_PROTEIN_HOMOTETRAMERIZATION,GO_RESPONSE_TO_GAMMA_RADIATION
2304,GO_FATTY_ACID_BETA_OXIDATION,GO_MAMMARY_GLAND_EPITHELIUM_DEVELOPMENT,GSE1112_OT1_CD8AB_VS_HY_CD8AA_THYMOCYTE_RTOC_CULTURE_UP
2305,GSE22886_IGG_IGA_MEMORY_BCELL_VS_BM_PLASMA_CELL_UP,GO_LYTIC_VACUOLE_ORGANIZATION,GSE36476_CTRL_VS_TSST_ACT_40H_MEMORY_CD4_TCELL_OLD_UP
2306,GSE2770_UNTREATED_VS_TGFB_AND_IL12_TREATED_ACT_CD4_TCELL_2H_UP,GSE360_CTRL_VS_L_MAJOR_MAC_UP,GSE18791_UNSTIM_VS_NEWCATSLE_VIRUS_DC_2H_UP
2307,GSE26351_WNT_VS_BMP_PATHWAY_STIM_HEMATOPOIETIC_PROGENITORS_UP,GSE39022_LN_VS_SPLEEN_DC_UP,GSE28237_FOLLICULAR_VS_LATE_GC_BCELL_UP
2308,GSE11961_FOLLICULAR_BCELL_VS_PLASMA_CELL_DAY7_UP,GSE360_HIGH_VS_LOW_DOSE_B_MALAYI_MAC_UP,GO_REGULATION_OF_ORGANIC_ACID_TRANSPORT
2309,GSE27291_6H_VS_7D_STIM_GAMMADELTA_TCELL_UP,GSE3982_EFF_MEMORY_VS_CENT_MEMORY_CD4_TCELL_UP,GO_NEGATIVE_REGULATION_OF_CARBOHYDRATE_METABOLIC_PROCESS
2310,GSE360_DC_VS_MAC_B_MALAYI_LOW_DOSE_UP,GSE28726_NAIVE_VS_ACTIVATED_NKTCELL_UP,GSE8515_IL1_VS_IL6_4H_STIM_MAC_UP
2311,GSE20198_IL12_VS_IL12_IL18_TREATED_ACT_CD4_TCELL_UP,GSE36392_TYPE_2_MYELOID_VS_NEUTROPHIL_IL25_TREATED_LUNG_UP,GO_POSITIVE_REGULATION_OF_REACTIVE_OXYGEN_SPECIES_METABOLIC_PROCESS
2312,GSE2770_TGFB_AND_IL4_ACT_VS_ACT_CD4_TCELL_2H_UP,GSE22935_UNSTIM_VS_24H_MBOVIS_BCG_STIM_MYD88_KO_MACROPHAGE_UP,GSE3982_NKCELL_VS_TH2_UP
2313,GSE20727_CTRL_VS_DNFB_ALLERGEN_TREATED_DC_UP,GSE21063_CTRL_VS_ANTI_IGM_STIM_BCELL_NFATC1_KO_8H_UP,GSE36078_WT_VS_IL1R_KO_LUNG_DC_AFTER_AD5_INF_UP
2314,GSE3982_DC_VS_MAC_LPS_STIM_UP,GO_POSITIVE_REGULATION_OF_INTRINSIC_APOPTOTIC_SIGNALING_PATHWAY,GSE2585_THYMIC_DC_VS_THYMIC_MACROPHAGE_UP
2315,GSE13229_IMM_VS_INTMATURE_NKCELL_UP,GSE2128_C57BL6_VS_NOD_CD4CD8_DP_THYMOCYTE_UP,GSE32423_MEMORY_VS_NAIVE_CD8_TCELL_IL7_UP
2316,GO_NCRNA_TRANSCRIPTION,GO_REGULATION_OF_MAST_CELL_ACTIVATION,GSE19825_CD24LOW_VS_IL2RA_HIGH_DAY3_EFF_CD8_TCELL_UP
2317,GSE20198_IL12_IL18_VS_IFNA_TREATED_ACT_CD4_TCELL_UP,GO_LEUKOCYTE_PROLIFERATION,GSE29618_PRE_VS_DAY7_FLU_VACCINE_MONOCYTE_UP
2318,GSE18893_TCONV_VS_TREG_2H_TNF_STIM_UP,GO_REGULATION_OF_ACTIN_FILAMENT_BUNDLE_ASSEMBLY,GSE40225_WT_VS_RIP_B7X_DIABETIC_MOUSE_PANCREATIC_CD8_TCELL_UP
2319,GO_RESPONSE_TO_TYPE_I_INTERFERON,GSE22935_UNSTIM_VS_24H_MBOVIS_BCG_STIM_MACROPHAGE_UP,GSE3982_NEUTROPHIL_VS_BASOPHIL_UP
2320,GSE17721_LPS_VS_POLYIC_8H_BMDC_UP,GO_RIBONUCLEOSIDE_DIPHOSPHATE_METABOLIC_PROCESS,GO_POSITIVE_REGULATION_OF_BLOOD_CIRCULATION
2321,GSE11864_CSF1_IFNG_VS_CSF1_IFNG_PAM3CYS_IN_MAC_UP,GO_EXTRACELLULAR_MATRIX_DISASSEMBLY,GSE7460_TREG_VS_TCONV_ACT_UP
2322,GO_HISTONE_EXCHANGE,GSE19941_UNSTIM_VS_LPS_STIM_IL10_KO_MACROPHAGE_UP,GSE2770_UNTREATED_VS_IL12_TREATED_ACT_CD4_TCELL_2H_UP
2323,GSE22886_CTRL_VS_LPS_24H_DC_UP,GSE7460_CD8_TCELL_VS_CD4_TCELL_ACT_UP,GSE11961_MARGINAL_ZONE_BCELL_VS_GERMINAL_CENTER_BCELL_DAY40_UP
2324,GSE360_DC_VS_MAC_L_DONOVANI_UP,GSE9509_LPS_VS_LPS_AND_IL10_STIM_IL10_KO_MACROPHAGE_20MIN_UP,GSE13411_NAIVE_VS_MEMORY_BCELL_UP
2325,GSE3203_HEALTHY_VS_INFLUENZA_INFECTED_LN_BCELL_UP,GSE17721_0.5H_VS_12H_PAM3CSK4_BMDC_UP,GSE17974_IL4_AND_ANTI_IL12_VS_UNTREATED_6H_ACT_CD4_TCELL_UP
2326,GSE360_T_GONDII_VS_B_MALAYI_LOW_DOSE_MAC_UP,GSE17721_CTRL_VS_PAM3CSK4_8H_BMDC_UP,GSE24634_NAIVE_CD4_TCELL_VS_DAY5_IL4_CONV_TREG_UP
2327,GSE22229_RENAL_TRANSPLANT_VS_HEALTHY_PBMC_UP,GSE24210_CTRL_VS_IL35_TREATED_TCONV_CD4_TCELL_UP,GSE3039_ALPHABETA_CD8_TCELL_VS_B2_BCELL_UP
2328,GO_SOMATIC_DIVERSIFICATION_OF_IMMUNE_RECEPTORS,GSE46606_UNSTIM_VS_CD40L_IL2_IL5_1DAY_STIMULATED_IRF4MID_SORTED_BCELL_UP,GSE22886_NAIVE_VS_MEMORY_TCELL_UP
2329,GSE14308_TH17_VS_NATURAL_TREG_UP,GSE21063_CTRL_VS_ANTI_IGM_STIM_BCELL_NFATC1_KO_3H_UP,GSE7460_TCONV_VS_TREG_LN_UP
2330,GSE22611_NOD2_VS_MUTANT_NOD2_TRANSDUCED_HEK293T_CELL_UP,GSE43955_TH0_VS_TGFB_IL6_TH17_ACT_CD4_TCELL_1H_UP,GO_CELLULAR_TRANSITION_METAL_ION_HOMEOSTASIS
2331,GO_SNRNA_METABOLIC_PROCESS,GSE3982_BASOPHIL_VS_EFF_MEMORY_CD4_TCELL_UP,GSE15930_NAIVE_VS_24H_IN_VITRO_STIM_INFAB_CD8_TCELL_UP
2332,GSE15750_DAY6_VS_DAY10_TRAF6KO_EFF_CD8_TCELL_UP,GSE5589_LPS_AND_IL10_VS_LPS_AND_IL6_STIM_IL10_KO_MACROPHAGE_45MIN_UP,GSE41176_UNSTIM_VS_ANTI_IGM_STIM_TAK1_KO_BCELL_6H_UP
2333,GSE17721_CTRL_VS_CPG_1H_BMDC_UP,GSE37532_WT_VS_PPARG_KO_VISCERAL_ADIPOSE_TISSUE_TCONV_UP,GO_NEGATIVE_REGULATION_OF_AUTOPHAGY
2334,GSE11961_MARGINAL_ZONE_BCELL_VS_GERMINAL_CENTER_BCELL_DAY7_UP,GSE17974_0H_VS_1H_IN_VITRO_ACT_CD4_TCELL_UP,GSE17721_CTRL_VS_POLYIC_0.5H_BMDC_UP
2335,GSE11961_FOLLICULAR_BCELL_VS_MEMORY_BCELL_DAY40_UP,GO_PROTEIN_LOCALIZATION_TO_MITOCHONDRION,GO_ENDOTHELIAL_CELL_DIFFERENTIATION
2336,GSE12845_IGD_NEG_BLOOD_VS_PRE_GC_TONSIL_BCELL_UP,GO_RECEPTOR_INTERNALIZATION,GSE24574_BCL6_HIGH_VS_LOW_TFH_CD4_TCELL_UP
2337,GSE41867_NAIVE_VS_DAY6_LCMV_ARMSTRONG_EFFECTOR_CD8_TCELL_UP,GSE17721_0.5H_VS_8H_LPS_BMDC_UP,GSE5455_HEALTHY_VS_TUMOR_BEARING_MOUSE_SPLEEN_MONOCYTE_UP
2338,GSE22611_UNSTIM_VS_2H_MDP_STIM_NOD2_TRANSDUCED_HEK293T_CELL_UP,GO_NATURAL_KILLER_CELL_ACTIVATION,GO_POSITIVE_REGULATION_OF_B_CELL_ACTIVATION
2339,GSE15659_RESTING_TREG_VS_NONSUPPRESSIVE_TCELL_UP,GSE21927_SPLEEN_VS_4T1_TUMOR_MONOCYTE_BALBC_UP,GSE11961_MARGINAL_ZONE_BCELL_VS_GERMINAL_CENTER_BCELL_DAY7_UP
2340,GSE10240_IL22_VS_IL17_STIM_PRIMARY_BRONCHIAL_EPITHELIAL_CELLS_UP,GO_ACTIN_CYTOSKELETON_REORGANIZATION,GO_NEGATIVE_REGULATION_OF_NUCLEOTIDE_METABOLIC_PROCESS
2341,GSE41867_NAIVE_VS_DAY15_LCMV_ARMSTRONG_EFFECTOR_CD8_TCELL_UP,GSE17721_CTRL_VS_GARDIQUIMOD_24H_BMDC_UP,GO_SOMITOGENESIS
2342,GO_CELLULAR_RESPONSE_TO_CORTICOSTEROID_STIMULUS,GSE5679_PPARG_LIGAND_ROSIGLITAZONE_VS_ROSIGLITAZONE_AND_RARA_AGONIST_AM580_TREATED_DC_UP,GSE20715_0H_VS_48H_OZONE_LUNG_UP
2343,GSE17186_MEMORY_VS_CD21HIGH_TRANSITIONAL_BCELL_UP,GSE3982_NKCELL_VS_TH2_UP,GSE27786_CD4_VS_CD8_TCELL_UP
2344,GSE27786_LSK_VS_NKTCELL_UP,GSE2706_LPS_VS_R848_AND_LPS_8H_STIM_DC_UP,GSE2770_UNTREATED_VS_TGFB_AND_IL4_TREATED_ACT_CD4_TCELL_4H_UP
2345,GSE25123_WT_VS_PPARG_KO_MACROPHAGE_IL4_AND_ROSIGLITAZONE_STIM_UP,GSE15330_WT_VS_IKAROS_KO_LYMPHOID_MULTIPOTENT_PROGENITOR_UP,GSE28130_ACTIVATED_VS_INDUCEED_TREG_UP
2346,GO_REGULATION_OF_TRANSLATIONAL_INITIATION,GSE17721_LPS_VS_GARDIQUIMOD_1H_BMDC_UP,GO_NEGATIVE_REGULATION_OF_I_KAPPAB_KINASE_NF_KAPPAB_SIGNALING
2347,GSE27786_NKTCELL_VS_MONO_MAC_UP,GSE17974_CTRL_VS_ACT_IL4_AND_ANTI_IL12_1H_CD4_TCELL_UP,GSE37301_LYMPHOID_PRIMED_MPP_VS_CD4_TCELL_UP
2348,GSE25088_CTRL_VS_IL4_STIM_STAT6_KO_MACROPHAGE_UP,GSE9988_LPS_VS_LPS_AND_ANTI_TREM1_MONOCYTE_UP,GSE17721_PAM3CSK4_VS_GADIQUIMOD_2H_BMDC_UP
2349,GSE41867_DAY6_VS_DAY8_LCMV_ARMSTRONG_EFFECTOR_CD8_TCELL_UP,GO_RHO_PROTEIN_SIGNAL_TRANSDUCTION,GSE19941_LPS_VS_LPS_AND_IL10_STIM_IL10_KO_NFKBP50_KO_MACROPHAGE_UP
2350,GSE19888_ADENOSINE_A3R_INH_VS_ACT_IN_MAST_CELL_UP,GSE18804_SPLEEN_MACROPHAGE_VS_BRAIN_TUMORAL_MACROPHAGE_UP,GO_CYTOSOLIC_CALCIUM_ION_TRANSPORT
2351,GSE360_CTRL_VS_L_MAJOR_MAC_UP,GSE33424_CD161_HIGH_VS_INT_CD8_TCELL_UP,GSE1432_1H_VS_24H_IFNG_MICROGLIA_UP
2352,GSE13411_IGM_VS_SWITCHED_MEMORY_BCELL_UP,GSE360_L_MAJOR_VS_B_MALAYI_LOW_DOSE_MAC_UP,GO_NEGATIVE_REGULATION_OF_TRANSFORMING_GROWTH_FACTOR_BETA_RECEPTOR_SIGNALING_PATHWAY
