,b,t
1833,GSE5542_IFNG_VS_IFNA_AND_IFNG_TREATED_EPITHELIAL_CELLS_24H_UP,GO_POSITIVE_REGULATION_OF_OSTEOBLAST_DIFFERENTIATION
1834,GSE39820_CTRL_VS_TGFBETA1_IL6_IL23A_CD4_TCELL_UP,GSE43863_TH1_VS_TFH_EFFECTOR_CD4_TCELL_UP
1835,GO_REGULATION_OF_SODIUM_ION_TRANSPORT,GSE40666_UNTREATED_VS_IFNA_STIM_STAT4_KO_EFFECTOR_CD8_TCELL_90MIN_UP
1836,GSE22611_UNSTIM_VS_2H_MDP_STIM_NOD2_TRANSDUCED_HEK293T_CELL_UP,GSE17721_12H_VS_24H_GARDIQUIMOD_BMDC_UP
1837,GO_SIGNAL_TRANSDUCTION_IN_RESPONSE_TO_DNA_DAMAGE,GSE43955_1H_VS_60H_ACT_CD4_TCELL_WITH_TGFB_IL6_UP
1838,GSE17721_POLYIC_VS_CPG_2H_BMDC_UP,GO_NEUTRAL_LIPID_METABOLIC_PROCESS
1839,GSE8921_UNSTIM_VS_TLR1_2_STIM_MONOCYTE_3H_UP,GSE36527_CD62L_HIGH_VS_CD62L_LOW_TREG_CD69_NEG_KLRG1_NEG_UP
1840,GO_MULTI_ORGANISM_LOCALIZATION,GSE8835_HEALTHY_VS_CLL_CD4_TCELL_UP
1841,GSE6092_UNSTIM_VS_IFNG_STIM_ENDOTHELIAL_CELL_UP,GSE3982_MAST_CELL_VS_TH2_UP
1842,GSE17721_0.5H_VS_4H_POLYIC_BMDC_UP,GSE360_L_MAJOR_VS_T_GONDII_MAC_UP
1843,GSE37532_WT_VS_PPARG_KO_LN_TCONV_UP,GO_REGULATION_OF_OXIDOREDUCTASE_ACTIVITY
1844,GSE31082_DN_VS_CD4_SP_THYMOCYTE_UP,GO_STRIATED_MUSCLE_CONTRACTION
1845,GSE360_HIGH_VS_LOW_DOSE_B_MALAYI_MAC_UP,GO_REGULATION_OF_SYNAPSE_ASSEMBLY
1846,GSE5455_EX_VIVO_VS_POST_24H_INCUBATION_MONOCYTES_FROM_TUMOR_BEARING_MOUSE_UP,GSE27786_NKCELL_VS_ERYTHROBLAST_UP
1847,GO_REGULATION_OF_DNA_BINDING,GSE19941_UNSTIM_VS_LPS_STIM_IL10_KO_MACROPHAGE_UP
1848,GSE19888_NO_PRETREAT_VS_ADENOSINE_A3R_INHIBITOR_PRETREATED_MAST_CELL_TCELL_MEMBRANES_ACT_UP,GSE45365_CTRL_VS_MCMV_INFECTION_NK_CELL_UP
1849,GSE3982_MAST_CELL_VS_NEUTROPHIL_UP,GO_EXTRACELLULAR_MATRIX_DISASSEMBLY
1850,GSE17186_MEMORY_VS_CD21LOW_TRANSITIONAL_BCELL_UP,GO_ACTIN_FILAMENT_BASED_MOVEMENT
1851,GSE17721_PAM3CSK4_VS_GADIQUIMOD_8H_BMDC_UP,GO_O_GLYCAN_PROCESSING
1852,GO_PROTEIN_TRANSMEMBRANE_TRANSPORT,GSE2770_IL12_AND_TGFB_VS_IL4_TREATED_ACT_CD4_TCELL_2H_UP
1853,GSE5589_WT_VS_IL6_KO_LPS_STIM_MACROPHAGE_45MIN_UP,GSE3039_ALPHABETA_CD8_TCELL_VS_B2_BCELL_UP
1854,GSE14308_TH2_VS_NAIVE_CD4_TCELL_UP,GO_MYELOID_CELL_HOMEOSTASIS
1855,GSE40068_BCL6_POS_VS_NEG_CXCR5_POS_TFH_UP,GSE41867_DAY15_EFFECTOR_VS_DAY30_MEMORY_CD8_TCELL_LCMV_ARMSTRONG_UP
1856,GSE19941_UNSTIM_VS_LPS_STIM_IL10_KO_NFKBP50_KO_MACROPHAGE_UP,GSE3982_DC_VS_BCELL_UP
1857,GSE9316_IL6_KO_VS_IFNG_KO_INVIVO_EXPANDED_CD4_TCELL_UP,GSE22601_CD4_SINGLE_POSITIVE_VS_CD8_SINGLE_POSITIVE_THYMOCYTE_UP
1858,GSE21546_WT_VS_ELK1_KO_ANTI_CD3_STIM_DP_THYMOCYTES_UP,GSE42021_CD24LO_TREG_VS_CD24LO_TCONV_THYMUS_UP
1859,GO_MATERNAL_PROCESS_INVOLVED_IN_FEMALE_PREGNANCY,GSE13306_RA_VS_UNTREATED_MEM_CD4_TCELL_UP
1860,GSE32034_UNTREATED_VS_ROSIGLIZATONE_TREATED_LY6C_HIGH_MONOCYTE_UP,GSE41978_WT_VS_BIM_KO_KLRG1_LOW_EFFECTOR_CD8_TCELL_UP
1861,GO_MITOTIC_SPINDLE_ORGANIZATION,GO_REGULATION_OF_PROTEIN_TYROSINE_KINASE_ACTIVITY
1862,GO_REGULATION_OF_STEROID_METABOLIC_PROCESS,GSE29164_CD8_TCELL_VS_CD8_TCELL_AND_IL12_TREATED_MELANOMA_DAY7_UP
1863,GO_INTRACELLULAR_STEROID_HORMONE_RECEPTOR_SIGNALING_PATHWAY,GO_REGULATION_OF_MYOTUBE_DIFFERENTIATION
1864,GSE7460_CTRL_VS_TGFB_TREATED_ACT_FOXP3_HET_TCONV_UP,GO_EMBRYONIC_HEART_TUBE_DEVELOPMENT
1865,GSE17974_1.5H_VS_72H_IL4_AND_ANTI_IL12_ACT_CD4_TCELL_UP,GSE17301_IFNA2_VS_IFNA2_AND_ACD3_ACD28_STIM_CD8_TCELL_UP
1866,GSE3720_UNSTIM_VS_LPS_STIM_VD1_GAMMADELTA_TCELL_UP,GO_MATING
1867,GO_SEGMENTATION,GSE3982_CTRL_VS_IGE_STIM_MAST_CELL_UP
1868,GSE15330_GRANULOCYTE_MONOCYTE_PROGENITOR_VS_PRO_BCELL_UP,GO_POSITIVE_REGULATION_OF_PROTEIN_POLYMERIZATION
1869,GSE43955_TH0_VS_TGFB_IL6_IL23_TH17_ACT_CD4_TCELL_52H_UP,GSE2124_CTRL_VS_LYMPHOTOXIN_BETA_TREATED_MLN_UP
1870,GO_REGULATION_OF_DNA_BIOSYNTHETIC_PROCESS,GO_CHROMATIN_SILENCING_AT_RDNA
1871,GSE40655_FOXO1_KO_VS_WT_NTREG_UP,GO_STAT_CASCADE
1872,GSE4748_CTRL_VS_CYANOBACTERIUM_LPSLIKE_STIM_DC_1H_UP,GO_POSITIVE_REGULATION_OF_CELL_SUBSTRATE_ADHESION
1873,GSE23505_IL6_IL1_VS_IL6_IL1_IL23_TREATED_CD4_TCELL_UP,GSE29618_LAIV_VS_TIV_FLU_VACCINE_DAY7_MDC_UP
1874,GSE21033_CTRL_VS_POLYIC_STIM_DC_1H_UP,GSE3982_EOSINOPHIL_VS_NKCELL_UP
1875,GO_RESPONSE_TO_HEAT,GO_SECONDARY_METABOLIC_PROCESS
1876,GSE39820_TGFBETA1_VS_TGFBETA3_IN_IL6_IL23A_TREATED_CD4_TCELL_UP,GO_ORGAN_OR_TISSUE_SPECIFIC_IMMUNE_RESPONSE
1877,GSE14769_UNSTIM_VS_240MIN_LPS_BMDM_UP,GO_BONE_MORPHOGENESIS
1878,GSE19888_CTRL_VS_A3R_ACTIVATION_MAST_CELL_UP,GSE26343_WT_VS_NFAT5_KO_MACROPHAGE_LPS_STIM_UP
1879,GSE7460_CTRL_VS_TGFB_TREATED_ACT_FOXP3_MUT_TCONV_UP,GSE3982_DC_VS_MAC_UP
1880,GSE1432_1H_VS_6H_IFNG_MICROGLIA_UP,GSE22935_24H_VS_48H_MBOVIS_BCG_STIM_MYD88_KO_MACROPHAGE_UP
1881,GSE32423_IL7_VS_IL7_IL4_MEMORY_CD8_TCELL_UP,GO_POSITIVE_REGULATION_OF_OSSIFICATION
1882,GO_RESPONSE_TO_BMP,GSE20715_0H_VS_6H_OZONE_LUNG_UP
1883,GSE2770_UNTREATED_VS_TGFB_AND_IL12_TREATED_ACT_CD4_TCELL_2H_UP,GSE12392_IFNAR_KO_VS_IFNB_KO_CD8_NEG_SPLEEN_DC_UP
1884,GO_DENDRITE_DEVELOPMENT,GSE17721_POLYIC_VS_GARDIQUIMOD_6H_BMDC_UP
1885,GO_NUCLEOSIDE_TRIPHOSPHATE_BIOSYNTHETIC_PROCESS,GSE15930_NAIVE_VS_72H_IN_VITRO_STIM_IL12_CD8_TCELL_UP
1886,GSE20715_WT_VS_TLR4_KO_6H_OZONE_LUNG_UP,GSE21670_TGFB_VS_IL6_TREATED_CD4_TCELL_UP
1887,GO_ENDOSOME_ORGANIZATION,GO_ERBB_SIGNALING_PATHWAY
1888,GSE17721_LPS_VS_POLYIC_4H_BMDC_UP,GO_ERYTHROCYTE_HOMEOSTASIS
1889,GSE9316_CD4_TCELL_BALBC_VS_TH17_ENRI_CD4_TCELL_SKG_PMA_IONO_STIM_FR4NEG_UP,GSE41176_WT_VS_TAK1_KO_ANTI_IGM_STIM_BCELL_6H_UP
1890,GSE17721_CTRL_VS_CPG_2H_BMDC_UP,GO_REGULATION_OF_COAGULATION
1891,GSE9650_NAIVE_VS_MEMORY_CD8_TCELL_UP,GSE17721_PAM3CSK4_VS_GADIQUIMOD_4H_BMDC_UP
1892,GSE35685_CD34POS_CD38NEG_VS_CD34POS_CD10NEG_CD62LPOS_BONE_MARROW_UP,GO_EPIDERMAL_GROWTH_FACTOR_RECEPTOR_SIGNALING_PATHWAY
1893,GO_POSITIVE_REGULATION_OF_DNA_BIOSYNTHETIC_PROCESS,GSE5589_LPS_VS_LPS_AND_IL10_STIM_IL6_KO_MACROPHAGE_45MIN_UP
1894,GSE45739_NRAS_KO_VS_WT_UNSTIM_CD4_TCELL_UP,GSE360_CTRL_VS_L_MAJOR_DC_UP
1895,GSE17721_CTRL_VS_GARDIQUIMOD_4H_BMDC_UP,GO_REGULATION_OF_PROTEIN_MATURATION
1896,GSE12198_LOW_IL2_STIM_NK_CELL_VS_HIGH_IL2_STIM_NK_CELL_UP,GSE1460_CORD_VS_ADULT_BLOOD_NAIVE_CD4_TCELL_UP
1897,GO_PROTEIN_LOCALIZATION_TO_MITOCHONDRION,GSE43955_TH0_VS_TGFB_IL6_TH17_ACT_CD4_TCELL_20H_UP
1898,GSE7548_NAIVE_VS_DAY7_PCC_IMMUNIZATION_CD4_TCELL_UP,GO_MULTICELLULAR_ORGANISM_GROWTH
1899,GSE41867_DAY6_VS_DAY8_LCMV_CLONE13_EFFECTOR_CD8_TCELL_UP,GO_TISSUE_REMODELING
1900,GO_VENTRICULAR_SEPTUM_DEVELOPMENT,GO_CARDIAC_MUSCLE_CELL_DIFFERENTIATION
1901,GSE20715_WT_VS_TLR4_KO_48H_OZONE_LUNG_UP,GO_NEGATIVE_REGULATION_OF_LEUKOCYTE_MEDIATED_IMMUNITY
1902,GO_CYTOKINESIS,GO_SKELETAL_MUSCLE_CELL_DIFFERENTIATION
1903,GSE29949_MICROGLIA_BRAIN_VS_CD8_POS_DC_SPLEEN_UP,GSE360_CTRL_VS_B_MALAYI_HIGH_DOSE_DC_UP
1904,GSE13306_TREG_RA_VS_TCONV_RA_UP,GSE40685_NAIVE_CD4_TCELL_VS_FOXP3_KO_TREG_PRECURSOR_UP
1905,GO_RESPONSE_TO_ACTIVITY,GSE3982_EFF_MEMORY_CD4_TCELL_VS_TH1_UP
1906,GSE27786_NKCELL_VS_MONO_MAC_UP,GSE4142_NAIVE_VS_MEMORY_BCELL_UP
1907,GO_NEGATIVE_REGULATION_OF_PROTEIN_BINDING,GSE13485_DAY3_VS_DAY21_YF17D_VACCINE_PBMC_UP
1908,GSE36888_STAT5_AB_KNOCKIN_VS_WT_TCELL_IL2_TREATED_6H_UP,GSE360_L_DONOVANI_VS_M_TUBERCULOSIS_MAC_UP
1909,GSE8921_UNSTIM_0H_VS_TLR1_2_STIM_MONOCYTE_12H_UP,GSE43863_DAY6_EFF_VS_DAY150_MEM_TFH_CD4_TCELL_UP
1910,GSE2770_UNTREATED_VS_ACT_CD4_TCELL_6H_UP,GO_OLIGODENDROCYTE_DIFFERENTIATION
1911,GO_POSITIVE_REGULATION_OF_CATION_TRANSMEMBRANE_TRANSPORT,GSE2770_UNTREATED_VS_IL12_TREATED_ACT_CD4_TCELL_48H_UP
1912,GSE45365_CD8A_DC_VS_CD11B_DC_UP,GO_REGULATION_OF_ORGAN_GROWTH
1913,GSE5542_IFNA_VS_IFNA_AND_IFNG_TREATED_EPITHELIAL_CELLS_6H_UP,GSE32533_MIR17_KO_VS_MIR17_OVEREXPRESS_ACT_CD4_TCELL_UP
1914,GSE22589_HEALTHY_VS_HIV_INFECTED_DC_UP,GO_GLYCOSPHINGOLIPID_METABOLIC_PROCESS
1915,GSE26030_TH1_VS_TH17_RESTIMULATED_DAY15_POST_POLARIZATION_UP,GSE29949_CD8_NEG_DC_SPLEEN_VS_DC_BRAIN_UP
1916,GSE360_L_DONOVANI_VS_L_MAJOR_MAC_UP,GSE7460_CD8_TCELL_VS_CD4_TCELL_ACT_UP
1917,GSE39820_CTRL_VS_IL1B_IL6_IL23A_CD4_TCELL_UP,GSE42021_CD24INT_TREG_VS_CD24INT_TCONV_THYMUS_UP
1918,GSE16755_CTRL_VS_IFNA_TREATED_MAC_UP,GSE3982_BASOPHIL_VS_EFF_MEMORY_CD4_TCELL_UP
1919,GO_REGULATION_OF_NF_KAPPAB_IMPORT_INTO_NUCLEUS,GSE3982_EFF_MEMORY_CD4_TCELL_VS_TH2_UP
1920,GSE25123_ROSIGLITAZONE_VS_IL4_AND_ROSIGLITAZONE_STIM_PPARG_KO_MACROPHAGE_DAY10_UP,GSE10325_MYELOID_VS_LUPUS_MYELOID_UP
1921,GO_PROTEIN_LOCALIZATION_TO_CHROMOSOME,GSE17721_PAM3CSK4_VS_CPG_8H_BMDC_UP
1922,GSE45365_NK_CELL_VS_CD8A_DC_UP,GSE27786_LSK_VS_CD4_TCELL_UP
1923,GSE3982_MAST_CELL_VS_BASOPHIL_UP,GSE12392_CD8A_POS_VS_NEG_SPLEEN_DC_UP
1924,GO_MICROTUBULE_POLYMERIZATION,GSE23505_IL6_IL1_IL23_VS_IL6_IL1_TGFB_TREATED_CD4_TCELL_UP
1925,GSE41176_UNSTIM_VS_ANTI_IGM_STIM_TAK1_KO_BCELL_1H_UP,GSE36009_UNSTIM_VS_LPS_STIM_NLRP10_KO_DC_UP
1926,GSE46606_IRF4_KO_VS_WT_CD40L_IL2_IL5_3DAY_STIMULATED_BCELL_UP,GSE16385_UNTREATED_VS_12H_ROSIGLITAZONE_IFNG_TNF_TREATED_MACROPHAGE_UP
1927,GSE360_L_DONOVANI_VS_B_MALAYI_LOW_DOSE_MAC_UP,GSE42724_NAIVE_VS_MEMORY_BCELL_UP
1928,GSE37532_TREG_VS_TCONV_PPARG_KO_CD4_TCELL_FROM_VISCERAL_ADIPOSE_TISSUE_UP,GSE22886_TH1_VS_TH2_12H_ACT_UP
1929,GO_RETROGRADE_VESICLE_MEDIATED_TRANSPORT_GOLGI_TO_ER,GSE32423_MEMORY_VS_NAIVE_CD8_TCELL_IL7_UP
1930,GO_NEGATIVE_REGULATION_OF_CELL_SUBSTRATE_ADHESION,GSE2197_IMMUNOSUPPRESSIVE_DNA_VS_UNTREATED_IN_DC_UP
1931,GO_REGULATION_OF_PROTEIN_ACETYLATION,GSE3982_MAC_VS_CENT_MEMORY_CD4_TCELL_UP
1932,GSE3982_DC_VS_MAC_LPS_STIM_UP,GSE360_CTRL_VS_T_GONDII_MAC_UP
1933,GO_NEGATIVE_REGULATION_OF_CELL_DIVISION,GSE360_DC_VS_MAC_L_DONOVANI_UP
1934,GO_CIRCADIAN_REGULATION_OF_GENE_EXPRESSION,GSE17721_POLYIC_VS_CPG_12H_BMDC_UP
1935,GO_REGULATION_OF_COFACTOR_METABOLIC_PROCESS,GO_REGULATION_OF_BEHAVIOR
1936,GSE15930_NAIVE_VS_48H_IN_VITRO_STIM_IFNAB_CD8_TCELL_UP,GSE15930_NAIVE_VS_72H_IN_VITRO_STIM_TRICHOSTATINA_CD8_TCELL_UP
1937,GSE40273_EOS_KO_VS_WT_TREG_UP,GSE17721_LPS_VS_GARDIQUIMOD_6H_BMDC_UP
1938,GSE43955_1H_VS_42H_ACT_CD4_TCELL_WITH_TGFB_IL6_UP,GO_CALCIUM_MEDIATED_SIGNALING
1939,GSE5455_HEALTHY_VS_TUMOR_BEARING_MOUSE_SPLEEN_MONOCYTE_24H_INCUBATION_UP,GO_REACTIVE_OXYGEN_SPECIES_METABOLIC_PROCESS
1940,GSE360_L_MAJOR_VS_B_MALAYI_LOW_DOSE_MAC_UP,GSE33513_TCF7_KO_VS_HET_EARLY_THYMIC_PROGENITOR_UP
1941,GSE15930_STIM_VS_STIM_AND_IL12_24H_CD8_T_CELL_UP,GSE26488_WT_VS_HDAC7_DELTAP_TG_OT2_THYMOCYTE_WITH_PEPTIDE_INJECTION_UP
1942,GO_NUCLEAR_ENVELOPE_ORGANIZATION,GSE17721_LPS_VS_POLYIC_2H_BMDC_UP
1943,GSE28726_NAIVE_VS_ACTIVATED_CD4_TCELL_UP,GSE21670_UNTREATED_VS_TGFB_IL6_TREATED_STAT3_KO_CD4_TCELL_UP
1944,GSE22886_IGA_VS_IGM_MEMORY_BCELL_UP,GO_CELL_KILLING
1945,GSE2585_AIRE_KO_VS_WT_CD80_HIGH_MTEC_UP,GO_GLYCOLIPID_BIOSYNTHETIC_PROCESS
1946,GSE19941_IL10_KO_VS_IL10_KO_AND_NFKBP50_KO_LPS_STIM_MACROPHAGE_UP,GSE22935_24H_VS_48H_MBOVIS_BCG_STIM_MACROPHAGE_UP
1947,GSE17721_0.5H_VS_12H_CPG_BMDC_UP,GO_POSITIVE_REGULATION_OF_ACTIN_FILAMENT_POLYMERIZATION
1948,GSE17721_PAM3CSK4_VS_GADIQUIMOD_6H_BMDC_UP,GSE26351_UNSTIM_VS_WNT_PATHWAY_STIM_HEMATOPOIETIC_PROGENITORS_UP
1949,GSE4142_NAIVE_BCELL_VS_PLASMA_CELL_UP,GSE37301_HEMATOPOIETIC_STEM_CELL_VS_MULTIPOTENT_PROGENITOR_UP
1950,GSE10240_IL22_VS_IL22_AND_IL17_STIM_PRIMARY_BRONCHIAL_EPITHELIAL_CELLS_UP,GO_REGULATION_OF_CATION_CHANNEL_ACTIVITY
1951,GSE21546_WT_VS_SAP1A_KO_ANTI_CD3_STIM_DP_THYMOCYTES_UP,GO_DNA_STRAND_ELONGATION
1952,GSE29949_MICROGLIA_VS_DC_BRAIN_UP,GSE22935_UNSTIM_VS_48H_MBOVIS_BCG_STIM_MYD88_KO_MACROPHAGE_UP
1953,GO_POSITIVE_REGULATION_OF_PROTEASOMAL_PROTEIN_CATABOLIC_PROCESS,GSE37301_MULTIPOTENT_PROGENITOR_VS_GRAN_MONO_PROGENITOR_UP
1954,GSE24634_NAIVE_CD4_TCELL_VS_DAY7_IL4_CONV_TREG_UP,GSE360_LOW_DOSE_B_MALAYI_VS_M_TUBERCULOSIS_MAC_UP
1955,GSE31082_DN_VS_DP_THYMOCYTE_UP,GSE37416_0H_VS_12H_F_TULARENSIS_LVS_NEUTROPHIL_UP
1956,GSE17301_IFNA2_VS_IFNA5_STIM_ACD3_ACD28_ACT_CD8_TCELL_UP,GSE43863_DAY6_EFF_VS_DAY150_MEM_LY6C_INT_CXCR5POS_CD4_TCELL_UP
1957,GSE20198_IL12_VS_IFNA_TREATED_ACT_CD4_TCELL_UP,GSE41176_WT_VS_TAK1_KO_ANTI_IGM_STIM_BCELL_3H_UP
1958,GSE10273_HIGH_VS_LOW_IL7_TREATED_IRF4_8_NULL_PRE_BCELL_UP,GSE3982_NKCELL_VS_TH1_UP
1959,GSE18791_UNSTIM_VS_NEWCATSLE_VIRUS_DC_18H_UP,GSE29618_PRE_VS_DAY7_POST_TIV_FLU_VACCINE_MONOCYTE_UP
1960,GSE26343_WT_VS_NFAT5_KO_MACROPHAGE_UP,GO_NEGATIVE_REGULATION_OF_VIRAL_PROCESS
1961,GSE25085_FETAL_LIVER_VS_FETAL_BM_SP4_THYMIC_IMPLANT_UP,GSE36527_CD69_NEG_VS_POS_TREG_CD62L_LOS_KLRG1_NEG_UP
1962,GSE8621_UNSTIM_VS_LPS_PRIMED_AND_LPS_STIM_MACROPHAGE_UP,GSE30083_SP1_VS_SP3_THYMOCYTE_UP
1963,GSE7509_DC_VS_MONOCYTE_WITH_FCGRIIB_STIM_UP,GO_RESPONSE_TO_ZINC_ION
1964,GSE17721_4H_VS_24H_POLYIC_BMDC_UP,GSE5589_UNSTIM_VS_45MIN_LPS_AND_IL6_STIM_MACROPHAGE_UP
1965,GSE21063_WT_VS_NFATC1_KO_8H_ANTI_IGM_STIM_BCELL_UP,GSE11961_FOLLICULAR_BCELL_VS_MEMORY_BCELL_DAY40_UP
1966,GO_CELLULAR_RESPONSE_TO_AMINO_ACID_STIMULUS,GO_RESPONSE_TO_OSMOTIC_STRESS
1967,GSE24292_WT_VS_PPARG_KO_MACROPHAGE_UP,GSE25088_CTRL_VS_ROSIGLITAZONE_STIM_MACROPHAGE_UP
1968,GSE2770_IL12_AND_TGFB_ACT_VS_ACT_CD4_TCELL_48H_UP,GO_REGULATION_OF_MULTICELLULAR_ORGANISM_GROWTH
1969,GSE14908_RESTING_VS_HDM_STIM_CD4_TCELL_ATOPIC_PATIENT_UP,GSE25123_CTRL_VS_IL4_AND_ROSIGLITAZONE_STIM_PPARG_KO_MACROPHAGE_UP
1970,GSE27786_BCELL_VS_ERYTHROBLAST_UP,GSE15330_HSC_VS_LYMPHOID_PRIMED_MULTIPOTENT_PROGENITOR_UP
1971,GSE360_CTRL_VS_L_DONOVANI_MAC_UP,GO_REGULATION_OF_STRIATED_MUSCLE_CELL_DIFFERENTIATION
1972,GO_CELLULAR_TRANSITION_METAL_ION_HOMEOSTASIS,GO_REGULATION_OF_NEUROTRANSMITTER_TRANSPORT
1973,GSE26559_TCF1_KO_VS_WT_LIN_NEG_CELL_UP,GO_REGULATION_OF_LEUKOCYTE_APOPTOTIC_PROCESS
1974,GSE17721_0.5H_VS_8H_PAM3CSK4_BMDC_UP,GSE22196_HEALTHY_VS_OBESE_MOUSE_SKIN_GAMMADELTA_TCELL_UP
1975,GO_REGULATION_OF_MITOCHONDRIAL_MEMBRANE_POTENTIAL,GO_CELL_SURFACE_RECEPTOR_SIGNALING_PATHWAY_INVOLVED_IN_CELL_CELL_SIGNALING
1976,GO_STEM_CELL_PROLIFERATION,GSE9037_WT_VS_IRAK4_KO_LPS_4H_STIM_BMDM_UP
1977,GSE3982_CTRL_VS_LPS_4H_MAC_UP,GSE17721_POLYIC_VS_GARDIQUIMOD_4H_BMDC_UP
1978,GO_REGULATION_OF_CYCLIN_DEPENDENT_PROTEIN_KINASE_ACTIVITY,GSE28783_CTRL_ANTI_MIR_VS_UNTREATED_ATHEROSCLEROSIS_MACROPHAGE_UP
1979,GSE13229_IMM_VS_INTMATURE_NKCELL_UP,GSE39382_IL3_VS_IL3_IL33_TREATED_MAST_CELL_UP
1980,GSE18791_CTRL_VS_NEWCASTLE_VIRUS_DC_10H_UP,GO_REGULATION_OF_DENDRITIC_SPINE_DEVELOPMENT
1981,GSE39820_TGFBETA3_IL6_VS_TGFBETA3_IL6_IL23A_TREATED_CD4_TCELL_UP,GO_ORGANIC_HYDROXY_COMPOUND_CATABOLIC_PROCESS
1982,GSE5679_CTRL_VS_RARA_AGONIST_AM580_TREATED_DC_UP,GSE30971_WBP7_HET_VS_KO_MACROPHAGE_2H_LPS_STIM_UP
1983,GSE18791_CTRL_VS_NEWCASTLE_VIRUS_DC_18H_UP,GSE24574_BCL6_HIGH_VS_LOW_TFH_CD4_TCELL_UP
1984,GO_REGULATION_OF_EPITHELIAL_TO_MESENCHYMAL_TRANSITION,GSE17721_LPS_VS_GARDIQUIMOD_2H_BMDC_UP
1985,GSE46606_UNSTIM_VS_CD40L_IL2_IL5_3DAY_STIMULATED_IRF4HIGH_SORTED_BCELL_UP,GO_NEGATIVE_REGULATION_OF_LYMPHOCYTE_MEDIATED_IMMUNITY
1986,GO_FOREBRAIN_GENERATION_OF_NEURONS,GSE6269_FLU_VS_STREP_PNEUMO_INF_PBMC_UP
1987,GSE10240_CTRL_VS_IL22_STIM_PRIMARY_BRONCHIAL_EPITHELIAL_CELLS_UP,GSE22886_NAIVE_CD4_TCELL_VS_48H_ACT_TH2_UP
1988,GSE17721_CTRL_VS_POLYIC_24H_BMDC_UP,GO_POSITIVE_REGULATION_OF_FIBROBLAST_PROLIFERATION
1989,GSE5542_IFNG_VS_IFNA_AND_IFNG_TREATED_EPITHELIAL_CELLS_6H_UP,GSE4984_UNTREATED_VS_GALECTIN1_TREATED_DC_UP
1990,GSE23505_UNTREATED_VS_4DAY_IL6_IL1_TREATED_CD4_TCELL_UP,GSE7460_TREG_VS_TCONV_ACT_WITH_TGFB_UP
1991,GSE5099_UNSTIM_VS_MCSF_TREATED_MONOCYTE_DAY7_UP,GSE46606_IRF4MID_VS_WT_CD40L_IL2_IL5_DAY3_STIMULATED_BCELL_UP
1992,GO_ORGANOPHOSPHATE_ESTER_TRANSPORT,GSE3982_DC_VS_BASOPHIL_UP
1993,GSE45739_NRAS_KO_VS_WT_ACD3_ACD28_STIM_CD4_TCELL_UP,GSE28408_LY6G_POS_VS_NEG_DC_UP
1994,GSE3982_CENT_MEMORY_CD4_TCELL_VS_NKCELL_UP,GO_NEGATIVE_REGULATION_OF_INNATE_IMMUNE_RESPONSE
1995,GSE14908_ATOPIC_VS_NONATOPIC_PATIENT_HDM_STIM_CD4_TCELL_UP,GSE36888_UNTREATED_VS_IL2_TREATED_STAT5_AB_KNOCKIN_TCELL_2H_UP
1996,GSE24634_TREG_VS_TCONV_POST_DAY5_IL4_CONVERSION_UP,GSE33292_WT_VS_TCF1_KO_DN3_THYMOCYTE_UP
1997,GSE23308_CTRL_VS_CORTICOSTERONE_TREATED_MACROPHAGE_MINERALCORTICOID_REC_KO_UP,GSE16385_UNTREATED_VS_12H_IL4_TREATED_MACROPHAGE_UP
1998,GSE17721_CTRL_VS_CPG_0.5H_BMDC_UP,GSE24634_IL4_VS_CTRL_TREATED_NAIVE_CD4_TCELL_DAY3_UP
1999,GO_MESODERM_MORPHOGENESIS,GSE22886_IL2_VS_IL15_STIM_NKCELL_UP
2000,GSE17721_CTRL_VS_LPS_4H_BMDC_UP,GSE26343_UNSTIM_VS_LPS_STIM_MACROPHAGE_UP
2001,GSE17721_POLYIC_VS_GARDIQUIMOD_24H_BMDC_UP,GSE46606_DAY1_VS_DAY3_CD40L_IL2_IL5_STIMULATED_IRF4_KO_BCELL_UP
2002,GSE360_CTRL_VS_B_MALAYI_HIGH_DOSE_MAC_UP,GO_REGULATION_OF_NEUROTRANSMITTER_SECRETION
2003,GO_PURINE_NUCLEOSIDE_MONOPHOSPHATE_BIOSYNTHETIC_PROCESS,GSE1925_CTRL_VS_24H_IFNG_STIM_MACROPHAGE_UP
2004,GO_NIK_NF_KAPPAB_SIGNALING,GO_OLIGOSACCHARIDE_METABOLIC_PROCESS
2005,GO_BODY_FLUID_SECRETION,GSE37301_MULTIPOTENT_PROGENITOR_VS_PRO_BCELL_UP
2006,GSE17721_LPS_VS_CPG_24H_BMDC_UP,GSE9988_ANTI_TREM1_VS_LOW_LPS_MONOCYTE_UP
2007,GSE22033_UNTREATED_VS_MRL24_TREATED_MEF_UP,GSE21546_WT_VS_SAP1A_KO_AND_ELK1_KO_DP_THYMOCYTES_UP
2008,GSE24634_TREG_VS_TCONV_POST_DAY7_IL4_CONVERSION_UP,GSE19198_6H_VS_24H_IL21_TREATED_TCELL_UP
2009,GSE10239_NAIVE_VS_KLRG1INT_EFF_CD8_TCELL_UP,GSE2706_2H_VS_8H_LPS_STIM_DC_UP
2010,GSE2770_IL12_VS_IL4_TREATED_ACT_CD4_TCELL_6H_UP,GSE41867_DAY15_EFFECTOR_VS_DAY30_EXHAUSTED_CD8_TCELL_LCMV_CLONE13_UP
