,b,t,mono
2363,GSE7460_WT_VS_FOXP3_HET_ACT_TCONV_UP,GSE2706_LPS_VS_R848_AND_LPS_8H_STIM_DC_UP,GSE37532_WT_VS_PPARG_KO_LN_TCONV_UP
2364,GSE32034_UNTREATED_VS_ROSIGLIZATONE_TREATED_LY6C_HIGH_MONOCYTE_UP,GSE5542_IFNA_VS_IFNA_AND_IFNG_TREATED_EPITHELIAL_CELLS_24H_UP,GSE21927_SPLEEN_VS_TUMOR_MONOCYTE_C57BL6_UP
2365,GSE16385_MONOCYTE_VS_12H_IFNG_TNF_TREATED_MACROPHAGE_UP,GSE36078_WT_VS_IL1R_KO_LUNG_DC_AFTER_AD5_T425A_HEXON_INF_UP,GO_REGULATION_OF_SYNAPSE_ASSEMBLY
2366,GSE40273_GATA1_KO_VS_WT_TREG_UP,GO_LYTIC_VACUOLE_ORGANIZATION,GO_REGULATION_OF_CYCLIN_DEPENDENT_PROTEIN_KINASE_ACTIVITY
2367,GSE41867_LCMV_ARMSTRONG_VS_CLONE13_DAY8_EFFECTOR_CD8_TCELL_UP,GSE3982_EOSINOPHIL_VS_TH1_UP,GSE42724_MEMORY_VS_B1_BCELL_UP
2368,GSE360_L_DONOVANI_VS_B_MALAYI_LOW_DOSE_DC_UP,GSE17721_CTRL_VS_GARDIQUIMOD_0.5H_BMDC_UP,GO_ACID_SECRETION
2369,GO_REGULATION_OF_OSTEOCLAST_DIFFERENTIATION,GSE19941_UNSTIM_VS_LPS_STIM_IL10_KO_MACROPHAGE_UP,GSE46606_UNSTIM_VS_CD40L_IL2_IL5_1DAY_STIMULATED_IRF4HIGH_SORTED_BCELL_UP
2370,GSE360_L_DONOVANI_VS_B_MALAYI_HIGH_DOSE_DC_UP,GSE360_HIGH_VS_LOW_DOSE_B_MALAYI_MAC_UP,GO_NEUROPEPTIDE_SIGNALING_PATHWAY
2371,GSE360_CTRL_VS_T_GONDII_DC_UP,GSE9037_CTRL_VS_LPS_4H_STIM_BMDM_UP,GSE14769_UNSTIM_VS_40MIN_LPS_BMDM_UP
2372,GSE17721_0.5H_VS_12H_POLYIC_BMDC_UP,GSE24142_DN2_VS_DN3_THYMOCYTE_ADULT_UP,GSE13306_RA_VS_UNTREATED_TREG_UP
2373,GO_REGULATION_OF_VIRAL_GENOME_REPLICATION,GSE35685_CD34POS_CD38NEG_VS_CD34POS_CD10NEG_CD62LPOS_BONE_MARROW_UP,GO_CHROMOSOME_LOCALIZATION
2374,GSE1448_CTRL_VS_ANTI_VBETA5_DP_THYMOCYTE_UP,GSE360_L_MAJOR_VS_B_MALAYI_HIGH_DOSE_DC_UP,GO_DETECTION_OF_MECHANICAL_STIMULUS
2375,GSE41176_UNSTIM_VS_ANTI_IGM_STIM_BCELL_1H_UP,GO_PIGMENTATION,GSE15324_ELF4_KO_VS_WT_NAIVE_CD8_TCELL_UP
2376,GSE11864_UNTREATED_VS_CSF1_IN_MAC_UP,GSE40666_UNTREATED_VS_IFNA_STIM_STAT4_KO_EFFECTOR_CD8_TCELL_90MIN_UP,GO_JNK_CASCADE
2377,GSE41867_NAIVE_VS_DAY8_LCMV_EFFECTOR_CD8_TCELL_UP,GSE26928_EFF_MEM_VS_CENTR_MEM_CD4_TCELL_UP,GSE36888_STAT5_AB_KNOCKIN_VS_WT_TCELL_IL2_TREATED_17H_UP
2378,GSE42724_NAIVE_BCELL_VS_PLASMABLAST_UP,GSE37534_UNTREATED_VS_GW1929_TREATED_CD4_TCELL_PPARG1_AND_FOXP3_TRASDUCED_UP,GSE21546_SAP1A_KO_VS_SAP1A_KO_AND_ELK1_KO_ANTI_CD3_STIM_DP_THYMOCYTES_UP
2379,GSE39110_DAY3_VS_DAY6_POST_IMMUNIZATION_CD8_TCELL_UP,GO_POSITIVE_REGULATION_OF_TRANSPORTER_ACTIVITY,GSE14026_TH1_VS_TH17_UP
2380,GSE43955_1H_VS_60H_ACT_CD4_TCELL_WITH_TGFB_IL6_UP,GO_REGULATION_OF_INTERLEUKIN_8_PRODUCTION,GSE39556_CD8A_DC_VS_NK_CELL_MOUSE_3H_POST_POLYIC_INJ_UP
2381,GSE45881_CXCR6HI_VS_CXCR1LO_COLONIC_LAMINA_PROPRIA_UP,GO_MYOTUBE_DIFFERENTIATION,GSE3982_BCELL_VS_BASOPHIL_UP
2382,GSE17721_12H_VS_24H_POLYIC_BMDC_UP,GSE35825_UNTREATED_VS_IFNG_STIM_MACROPHAGE_UP,GSE8921_3H_VS_24H_TLR1_2_STIM_MONOCYTE_UP
2383,GSE43863_TH1_VS_LY6C_INT_CXCR5POS_EFFECTOR_CD4_TCELL_UP,GSE1740_MCSF_VS_MCSF_AND_IFNG_DAY2_DERIVED_MACROPHAGE_WITH_IFNA_STIM_UP,GSE2826_XID_VS_BTK_KO_BCELL_UP
2384,GSE22886_DAY1_VS_DAY7_MONOCYTE_IN_CULTURE_UP,GSE20715_0H_VS_48H_OZONE_LUNG_UP,GSE13306_RA_VS_UNTREATED_TCONV_UP
2385,GSE17974_CTRL_VS_ACT_IL4_AND_ANTI_IL12_24H_CD4_TCELL_UP,GSE17721_CTRL_VS_LPS_8H_BMDC_UP,GSE15330_WT_VS_IKAROS_KO_GRANULOCYTE_MONOCYTE_PROGENITOR_UP
2386,GSE22589_SIV_VS_HIV_AND_SIV_INFECTED_DC_UP,GSE41978_WT_VS_BIM_KO_KLRG1_LOW_EFFECTOR_CD8_TCELL_UP,GSE29614_CTRL_VS_DAY3_TIV_FLU_VACCINE_PBMC_UP
2387,GO_RESPONSE_TO_TYPE_I_INTERFERON,GSE22935_UNSTIM_VS_24H_MBOVIS_BCG_STIM_MYD88_KO_MACROPHAGE_UP,GO_REGULATION_OF_CELL_CYCLE_G2_M_PHASE_TRANSITION
2388,GSE43863_TFH_VS_LY6C_INT_CXCR5POS_EFFECTOR_CD4_TCELL_UP,GSE37533_UNTREATED_VS_PIOGLIZATONE_TREATED_CD4_TCELL_PPARG1_AND_FOXP3_TRASDUCED_UP,GO_KIDNEY_MORPHOGENESIS
2389,GSE1432_1H_VS_24H_IFNG_MICROGLIA_UP,GSE360_L_MAJOR_VS_T_GONDII_DC_UP,GSE14308_TH2_VS_INDUCED_TREG_UP
2390,GSE23505_IL6_IL1_VS_IL6_IL1_IL23_TREATED_CD4_TCELL_UP,GO_POSITIVE_REGULATION_OF_CYTOKINE_SECRETION,GO_GOLGI_ORGANIZATION
2391,GSE17721_0.5H_VS_4H_LPS_BMDC_UP,GO_OXIDATIVE_PHOSPHORYLATION,GSE27786_LSK_VS_MONO_MAC_UP
2392,GSE17721_CTRL_VS_POLYIC_12H_BMDC_UP,GSE42021_CD24HI_TREG_VS_CD24HI_TCONV_THYMUS_UP,GSE15930_NAIVE_VS_72H_IN_VITRO_STIM_CD8_TCELL_UP
2393,GSE15330_LYMPHOID_MULTIPOTENT_VS_PRO_BCELL_UP,GSE26030_TH1_VS_TH17_RESTIMULATED_DAY5_POST_POLARIZATION_UP,GSE22432_CONVENTIONAL_CDC_VS_PLASMACYTOID_PDC_UP
2394,GO_REGULATION_OF_ALPHA_BETA_T_CELL_ACTIVATION,GO_VESICLE_DOCKING,GSE18281_CORTEX_VS_MEDULLA_THYMUS_UP
2395,GO_POSITIVE_REGULATION_OF_MYELOID_LEUKOCYTE_DIFFERENTIATION,GSE12845_NAIVE_VS_DARKZONE_GC_TONSIL_BCELL_UP,GSE5589_WT_VS_IL6_KO_LPS_AND_IL6_STIM_MACROPHAGE_45MIN_UP
2396,GSE7831_CPG_VS_INFLUENZA_STIM_PDC_1H_UP,GO_MULTICELLULAR_ORGANISMAL_MACROMOLECULE_METABOLIC_PROCESS,GSE5589_IL6_KO_VS_IL10_KO_LPS_STIM_MACROPHAGE_180MIN_UP
2397,GSE22140_HEALTHY_VS_ARTHRITIC_GERMFREE_MOUSE_CD4_TCELL_UP,GSE43863_NAIVE_VS_MEMORY_TH1_CD4_TCELL_D150_LCMV_UP,GO_PROTEIN_LOCALIZATION_TO_CHROMOSOME
2398,GO_MODIFICATION_OF_MORPHOLOGY_OR_PHYSIOLOGY_OF_OTHER_ORGANISM,GSE22886_IGG_IGA_MEMORY_BCELL_VS_BM_PLASMA_CELL_UP,GSE20715_0H_VS_24H_OZONE_TLR4_KO_LUNG_UP
2399,GSE40277_GATA1_AND_SATB1_TRANSDUCED_VS_CTRL_CD4_TCELL_UP,GSE2585_CD80_HIGH_VS_LOW_AIRE_KO_MTEC_UP,GSE18203_CTRL_VS_INTRATUMORAL_CPG_INJ_MC38_TUMOR_UP
2400,GSE36888_UNTREATED_VS_IL2_TREATED_TCELL_6H_UP,GO_RIBONUCLEOSIDE_TRIPHOSPHATE_BIOSYNTHETIC_PROCESS,GSE28237_FOLLICULAR_VS_EARLY_GC_BCELL_UP
2401,GSE21670_STAT3_KO_VS_WT_CD4_TCELL_IL6_TREATED_UP,GSE25087_FETAL_VS_ADULT_TREG_UP,GSE26727_WT_VS_KLF2_KO_LPS_STIM_MACROPHAGE_UP
2402,GSE43955_1H_VS_20H_ACT_CD4_TCELL_UP,GSE13411_NAIVE_BCELL_VS_PLASMA_CELL_UP,GO_REGULATION_OF_DNA_REPAIR
2403,GO_POSITIVE_REGULATION_OF_CELL_SUBSTRATE_ADHESION,GSE22886_IGM_MEMORY_BCELL_VS_BLOOD_PLASMA_CELL_UP,GSE20366_TREG_VS_TCONV_UP
2404,GSE21927_SPLEEN_C57BL6_VS_4T1_TUMOR_BALBC_MONOCYTES_UP,GSE17721_PAM3CSK4_VS_GADIQUIMOD_24H_BMDC_UP,GSE2128_C57BL6_VS_NOD_THYMOCYTE_MIMETOPE_NEGATIVE_SELECTION_UP
2405,GO_POSITIVE_REGULATION_OF_CALCIUM_ION_TRANSMEMBRANE_TRANSPORT,GSE17721_PAM3CSK4_VS_CPG_8H_BMDC_UP,GSE2770_IL12_VS_TGFB_AND_IL12_TREATED_ACT_CD4_TCELL_6H_UP
2406,GSE6259_FLT3L_INDUCED_33D1_POS_DC_VS_BCELL_UP,GSE22443_NAIVE_VS_ACT_AND_IL12_TREATED_CD8_TCELL_UP,GSE29618_PRE_VS_DAY7_FLU_VACCINE_PDC_UP
2407,GSE339_EX_VIVO_VS_IN_CULTURE_CD8POS_DC_UP,GSE17721_POLYIC_VS_PAM3CSK4_8H_BMDC_UP,GSE19401_PAM2CSK4_VS_RETINOIC_ACID_STIM_FOLLICULAR_DC_UP
2408,GSE23984_CTRL_VS_HYPOCALEMIC_VITAMIND_ANALOG_TCELL_UP,GO_VASCULAR_ENDOTHELIAL_GROWTH_FACTOR_RECEPTOR_SIGNALING_PATHWAY,GSE3982_CENT_MEMORY_CD4_TCELL_VS_TH2_UP
2409,GSE43700_UNTREATED_VS_IL10_TREATED_PBMC_UP,GSE42021_TCONV_PLN_VS_CD24HI_TCONV_THYMUS_UP,GSE7852_LN_VS_THYMUS_TREG_UP
2410,GSE1460_CD4_THYMOCYTE_VS_NAIVE_CD4_TCELL_CORD_BLOOD_UP,GSE28726_NAIVE_CD4_TCELL_VS_NAIVE_NKTCELL_UP,GSE45365_WT_VS_IFNAR_KO_BCELL_MCMV_INFECTION_UP
2411,GSE17186_CD21LOW_VS_CD21HIGH_TRANSITIONAL_BCELL_CORD_BLOOD_UP,GSE3203_INFLUENZA_INF_VS_IFNB_TREATED_LN_BCELL_UP,GSE25890_CTRL_VS_IL33_IL7_TREATED_NUOCYTES_UP
2412,GO_POSITIVE_REGULATION_OF_PROTEIN_POLYMERIZATION,GSE40685_NAIVE_CD4_TCELL_VS_FOXP3_KO_TREG_PRECURSOR_UP,GSE16385_UNTREATED_VS_12H_ROSIGLITAZONE_TREATED_MACROPHAGE_UP
2413,GSE14769_UNSTIM_VS_60MIN_LPS_BMDM_UP,GSE22886_IGG_IGA_MEMORY_BCELL_VS_BLOOD_PLASMA_CELL_UP,GSE17186_MEMORY_VS_CD21HIGH_TRANSITIONAL_BCELL_UP
2414,GSE14000_UNSTIM_VS_16H_LPS_DC_UP,GSE17721_CTRL_VS_GARDIQUIMOD_24H_BMDC_UP,GSE43955_TGFB_IL6_VS_TGFB_IL6_IL23_TH17_ACT_CD4_TCELL_52H_UP
2415,GSE22601_DOUBLE_NEGATIVE_VS_CD4_SINGLE_POSITIVE_THYMOCYTE_UP,GSE2405_HEAT_KILLED_LYSATE_VS_LIVE_A_PHAGOCYTOPHILUM_STIM_NEUTROPHIL_9H_UP,GSE37533_PPARG2_FOXP3_VS_FOXP3_TRANSDUCED_CD4_TCELL_PIOGLITAZONE_TREATED_UP
2416,GSE3982_MAC_VS_CENT_MEMORY_CD4_TCELL_UP,GO_REGULATION_OF_ACUTE_INFLAMMATORY_RESPONSE,GSE7764_IL15_TREATED_VS_CTRL_NK_CELL_24H_UP
2417,GSE43955_TGFB_IL6_VS_TGFB_IL6_IL23_TH17_ACT_CD4_TCELL_60H_UP,GSE43955_TH0_VS_TGFB_IL6_TH17_ACT_CD4_TCELL_1H_UP,GO_RNA_PHOSPHODIESTER_BOND_HYDROLYSIS_ENDONUCLEOLYTIC
2418,GSE17186_BLOOD_VS_CORD_BLOOD_NAIVE_BCELL_UP,GSE18281_SUBCAPSULAR_VS_PERIMEDULLARY_CORTICAL_REGION_OF_THYMUS_UP,GO_MRNA_3_END_PROCESSING
2419,GSE17721_CTRL_VS_POLYIC_6H_BMDC_UP,GSE45365_NK_CELL_VS_CD8A_DC_UP,GO_REGULATION_OF_T_CELL_MEDIATED_IMMUNITY
2420,GO_POSITIVE_REGULATION_OF_ACTIN_FILAMENT_POLYMERIZATION,GSE4748_LPS_VS_LPS_AND_CYANOBACTERIUM_LPSLIKE_STIM_DC_3H_UP,GO_CYCLIC_NUCLEOTIDE_METABOLIC_PROCESS
2421,GSE5142_HTERT_TRANSDUCED_VS_CTRL_CD8_TCELL_LATE_PASSAGE_CLONE_UP,GSE4142_NAIVE_VS_GC_BCELL_UP,GSE20366_CD103_KLRG1_DP_VS_DN_TREG_UP
2422,GSE14908_ATOPIC_VS_NONATOPIC_PATIENT_HDM_STIM_CD4_TCELL_UP,GSE19888_ADENOSINE_A3R_INH_PRETREAT_AND_ACT_BY_A3R_VS_A3R_INH_AND_TCELL_MEMBRANES_ACT_MAST_CELL_UP,GSE36392_MAC_VS_NEUTROPHIL_IL25_TREATED_LUNG_UP
2423,GSE3982_MAC_VS_BCELL_UP,GSE32986_UNSTIM_VS_GMCSF_AND_CURDLAN_HIGHDOSE_STIM_DC_UP,GSE22886_IGG_IGA_MEMORY_BCELL_VS_BM_PLASMA_CELL_UP
2424,GSE5542_UNTREATED_VS_IFNA_TREATED_EPITHELIAL_CELLS_6H_UP,GO_OLIGODENDROCYTE_DIFFERENTIATION,GSE40666_UNTREATED_VS_IFNA_STIM_CD8_TCELL_90MIN_UP
2425,GSE17721_0.5H_VS_8H_PAM3CSK4_BMDC_UP,GO_CELLULAR_RESPONSE_TO_MECHANICAL_STIMULUS,GSE22443_NAIVE_VS_ACT_AND_IL2_TREATED_CD8_TCELL_UP
2426,GSE18893_CTRL_VS_TNF_TREATED_TCONV_2H_UP,GSE9650_EFFECTOR_VS_MEMORY_CD8_TCELL_UP,GSE27786_LIN_NEG_VS_MONO_MAC_UP
2427,GSE26030_TH1_VS_TH17_RESTIMULATED_DAY15_POST_POLARIZATION_UP,GO_REGULATION_OF_PLASMA_MEMBRANE_ORGANIZATION,GSE22886_IGG_IGA_MEMORY_BCELL_VS_BLOOD_PLASMA_CELL_UP
2428,GSE26488_CTRL_VS_PEPTIDE_INJECTION_HDAC7_DELTAP_TG_OT2_THYMOCYTE_UP,GSE26030_TH1_VS_TH17_DAY15_POST_POLARIZATION_UP,GSE29164_UNTREATED_VS_CD8_TCELL_AND_IL12_TREATED_MELANOMA_DAY3_UP
2429,GSE19941_IL10_KO_VS_IL10_KO_AND_NFKBP50_KO_LPS_STIM_MACROPHAGE_UP,GO_ANTIGEN_PROCESSING_AND_PRESENTATION_OF_PEPTIDE_ANTIGEN_VIA_MHC_CLASS_I,GSE27786_CD4_TCELL_VS_MONO_MAC_UP
2430,GSE45365_WT_VS_IFNAR_KO_CD8A_DC_UP,GSE360_HIGH_DOSE_B_MALAYI_VS_M_TUBERCULOSIS_DC_UP,GSE19923_HEB_KO_VS_HEB_AND_E2A_KO_DP_THYMOCYTE_UP
2431,GSE25087_FETAL_VS_ADULT_TCONV_UP,GO_REGULATION_OF_CYTOKINE_PRODUCTION_INVOLVED_IN_IMMUNE_RESPONSE,GSE17974_IL4_AND_ANTI_IL12_VS_UNTREATED_1H_ACT_CD4_TCELL_UP
2432,GSE18804_SPLEEN_MACROPHAGE_VS_BRAIN_TUMORAL_MACROPHAGE_UP,GSE9006_HEALTHY_VS_TYPE_1_DIABETES_PBMC_AT_DX_UP,GSE3982_DC_VS_MAC_LPS_STIM_UP
2433,GSE39152_BRAIN_VS_SPLEEN_CD103_NEG_MEMORY_CD8_TCELL_UP,GO_ACTIN_CYTOSKELETON_REORGANIZATION,GSE27786_NKTCELL_VS_MONO_MAC_UP
2434,GO_CELL_KILLING,GSE11961_UNSTIM_VS_ANTI_IGM_AND_CD40_STIM_6H_FOLLICULAR_BCELL_UP,GSE21379_TFH_VS_NON_TFH_CD4_TCELL_UP
2435,GSE18804_SPLEEN_MACROPHAGE_VS_COLON_TUMORAL_MACROPHAGE_UP,GSE34156_NOD2_LIGAND_VS_TLR1_TLR2_LIGAND_6H_TREATED_MONOCYTE_UP,GSE22589_HEALTHY_VS_HIV_AND_SIV_INFECTED_DC_UP
2436,GO_MAINTENANCE_OF_LOCATION_IN_CELL,GSE42021_TREG_PLN_VS_CD24INT_TREG_THYMUS_UP,GO_LEUKOCYTE_PROLIFERATION
2437,GSE3982_BASOPHIL_VS_NKCELL_UP,GSE43863_LY6C_INT_CXCR5POS_VS_LY6C_LOW_CXCR5NEG_EFFECTOR_CD4_TCELL_UP,GSE16450_CTRL_VS_IFNA_6H_STIM_MATURE_NEURON_CELL_LINE_UP
2438,GSE26928_EFF_MEMORY_VS_CXCR5_POS_CD4_TCELL_UP,GSE360_CTRL_VS_L_DONOVANI_DC_UP,GSE15735_CTRL_VS_HDAC_INHIBITOR_TREATED_CD4_TCELL_12H_UP
2439,GO_POSITIVE_REGULATION_OF_REACTIVE_OXYGEN_SPECIES_METABOLIC_PROCESS,GSE2770_TGFB_AND_IL4_VS_IL12_TREATED_ACT_CD4_TCELL_48H_UP,GSE45365_CD8A_DC_VS_CD11B_DC_IFNAR_KO_MCMV_INFECTION_UP
2440,GSE5589_LPS_AND_IL10_VS_LPS_AND_IL6_STIM_IL6_KO_MACROPHAGE_45MIN_UP,GO_UNSATURATED_FATTY_ACID_BIOSYNTHETIC_PROCESS,GO_OOGENESIS
2441,GSE41867_DAY8_EFFECTOR_VS_DAY30_EXHAUSTED_CD8_TCELL_LCMV_CLONE13_UP,GSE3039_CD4_TCELL_VS_ALPHABETA_CD8_TCELL_UP,GSE16385_IFNG_TNF_VS_ROSIGLITAZONE_STIM_MACROPHAGE_UP
2442,GSE360_L_DONOVANI_VS_L_MAJOR_MAC_UP,GSE23502_BM_VS_COLON_TUMOR_MYELOID_DERIVED_SUPPRESSOR_CELL_UP,GO_TRANSCRIPTION_COUPLED_NUCLEOTIDE_EXCISION_REPAIR
2443,GSE29164_DAY3_VS_DAY7_CD8_TCELL_AND_IL12_TREATED_MELANOMA_UP,GSE5679_RARA_AGONIST_AM580_VS_AM580_AND_ROSIGLITAZONE_TREATED_DC_UP,GO_CELLULAR_CARBOHYDRATE_BIOSYNTHETIC_PROCESS
2444,GSE360_CTRL_VS_T_GONDII_MAC_UP,GSE37416_0H_VS_3H_F_TULARENSIS_LVS_NEUTROPHIL_UP,GO_GLUTAMINE_FAMILY_AMINO_ACID_METABOLIC_PROCESS
2445,GO_NUCLEOSIDE_MONOPHOSPHATE_BIOSYNTHETIC_PROCESS,GO_CELLULAR_TRANSITION_METAL_ION_HOMEOSTASIS,GO_DICARBOXYLIC_ACID_TRANSPORT
2446,GSE2770_UNTREATED_VS_IL4_TREATED_ACT_CD4_TCELL_48H_UP,GO_PROTEIN_POLYMERIZATION,GSE13485_PRE_VS_POST_YF17D_VACCINATION_PBMC_UP
2447,GO_REGULATION_OF_LIPASE_ACTIVITY,GSE25087_TREG_VS_TCONV_FETUS_UP,GO_POSTREPLICATION_REPAIR
2448,GSE25088_ROSIGLITAZONE_VS_IL4_AND_ROSIGLITAZONE_STIM_STAT6_KO_MACROPHAGE_DAY10_UP,GSE411_100MIN_VS_400MIN_IL6_STIM_MACROPHAGE_UP,GO_O_GLYCAN_PROCESSING
2449,GSE19772_CTRL_VS_HCMV_INF_MONOCYTES_UP,GSE5463_CTRL_VS_DEXAMETHASONE_TREATED_THYMOCYTE_UP,GSE16450_CTRL_VS_IFNA_12H_STIM_MATURE_NEURON_CELL_LINE_UP
2450,GSE26030_UNSTIM_VS_RESTIM_TH1_DAY15_POST_POLARIZATION_UP,GSE2770_IL12_ACT_VS_ACT_CD4_TCELL_2H_UP,GSE24634_TREG_VS_TCONV_POST_DAY5_IL4_CONVERSION_UP
2451,GSE29949_CD8_NEG_DC_SPLEEN_VS_MONOCYTE_BONE_MARROW_UP,GSE22886_NAIVE_CD4_TCELL_VS_MEMORY_TCELL_UP,GSE21927_BALBC_VS_C57BL6_MONOCYTE_SPLEEN_UP
2452,GSE8835_CD4_VS_CD8_TCELL_CLL_PATIENT_UP,GSE5679_PPARG_LIGAND_ROSIGLITAZONE_VS_ROSIGLITAZONE_AND_RARA_AGONIST_AM580_TREATED_DC_UP,GSE29618_PRE_VS_DAY7_POST_TIV_FLU_VACCINE_PDC_UP
2453,GSE2770_UNTREATED_VS_TGFB_AND_IL4_TREATED_ACT_CD4_TCELL_2H_UP,GSE41867_DAY6_EFFECTOR_VS_DAY30_MEMORY_CD8_TCELL_LCMV_ARMSTRONG_UP,GSE46606_DAY1_VS_DAY3_CD40L_IL2_IL5_STIMULATED_BCELL_UP
2454,GSE1925_CTRL_VS_IFNG_PRIMED_MACROPHAGE_24H_IFNG_STIM_UP,GSE360_DC_VS_MAC_B_MALAYI_HIGH_DOSE_UP,GSE23502_WT_VS_HDC_KO_MYELOID_DERIVED_SUPPRESSOR_CELL_BM_UP
2455,GSE21546_UNSTIM_VS_ANTI_CD3_STIM_ELK1_KO_DP_THYMOCYTES_UP,GO_CELLULAR_MONOVALENT_INORGANIC_CATION_HOMEOSTASIS,GO_METENCEPHALON_DEVELOPMENT
2456,GSE26351_UNSTIM_VS_BMP_PATHWAY_STIM_HEMATOPOIETIC_PROGENITORS_UP,GO_REGULATION_OF_CELLULAR_PH,GSE23568_ID3_TRANSDUCED_VS_ID3_KO_CD8_TCELL_UP
2457,GSE5542_IFNG_VS_IFNA_AND_IFNG_TREATED_EPITHELIAL_CELLS_24H_UP,GSE17721_POLYIC_VS_PAM3CSK4_16H_BMDC_UP,GSE21670_UNTREATED_VS_TGFB_TREATED_STAT3_KO_CD4_TCELL_UP
2458,GSE17721_PAM3CSK4_VS_CPG_4H_BMDC_UP,GSE25087_FETAL_VS_ADULT_TCONV_UP,GO_RESPONSE_TO_PROSTAGLANDIN
2459,GSE17721_LPS_VS_POLYIC_2H_BMDC_UP,GO_REGULATION_OF_RESPONSE_TO_OXIDATIVE_STRESS,GSE46606_IRF4_KO_VS_WT_CD40L_IL2_IL5_3DAY_STIMULATED_BCELL_UP
2460,GSE34006_WT_VS_A2AR_KO_TREG_UP,GSE28737_FOLLICULAR_VS_MARGINAL_ZONE_BCELL_BCL6_HET_UP,GO_MITOTIC_SPINDLE_ORGANIZATION
2461,GSE21670_IL6_VS_TGFB_AND_IL6_TREATED_CD4_TCELL_UP,GSE36826_WT_VS_IL1R_KO_SKIN_STAPH_AUREUS_INF_UP,GO_REGULATION_OF_EPITHELIAL_CELL_APOPTOTIC_PROCESS
2462,GSE30971_2H_VS_4H_LPS_STIM_MACROPHAGE_WBP7_HET_UP,GSE13306_RA_VS_UNTREATED_MEM_CD4_TCELL_UP,GSE15324_ELF4_KO_VS_WT_ACTIVATED_CD8_TCELL_UP
2463,GSE44649_NAIVE_VS_ACTIVATED_CD8_TCELL_MIR155_KO_UP,GSE9239_CTRL_VS_TNF_INHIBITOR_TREATED_DC_UP,GSE6259_BCELL_VS_CD8_TCELL_UP
2464,GO_HOMOTYPIC_CELL_CELL_ADHESION,GSE22886_TH1_VS_TH2_48H_ACT_UP,GO_MESONEPHRIC_TUBULE_MORPHOGENESIS
2465,GSE34515_CD16_NEG_MONOCYTE_VS_DC_UP,GSE29164_UNTREATED_VS_CD8_TCELL_TREATED_MELANOMA_DAY7_UP,GSE19825_NAIVE_VS_IL2RALOW_DAY3_EFF_CD8_TCELL_UP
2466,GSE32533_MIR17_KO_VS_MIR17_OVEREXPRESS_ACT_CD4_TCELL_UP,GSE33425_CD161_HIGH_VS_NEG_CD8_TCELL_UP,GSE3982_CTRL_VS_LPS_4H_MAC_UP
2467,GSE24574_BCL6_HIGH_TFH_VS_NAIVE_CD4_TCELL_UP,GSE19198_6H_VS_24H_IL21_TREATED_TCELL_UP,GSE25088_CTRL_VS_IL4_AND_ROSIGLITAZONE_STIM_STAT6_KO_MACROPHAGE_UP
2468,GSE17721_LPS_VS_GARDIQUIMOD_1H_BMDC_UP,GO_NEGATIVE_REGULATION_OF_MAP_KINASE_ACTIVITY,GSE45365_BCELL_VS_CD8_TCELL_UP
2469,GSE17721_CTRL_VS_LPS_8H_BMDC_UP,GSE26669_CTRL_VS_COSTIM_BLOCK_MLR_CD8_TCELL_UP,GO_TRNA_MODIFICATION
2470,GSE17721_0.5H_VS_8H_LPS_BMDC_UP,GSE11961_MEMORY_BCELL_DAY7_VS_PLASMA_CELL_DAY7_UP,GSE17186_NAIVE_VS_CD21HIGH_TRANSITIONAL_BCELL_CORD_BLOOD_UP
2471,GSE17721_LPS_VS_PAM3CSK4_12H_BMDC_UP,GO_REACTIVE_OXYGEN_SPECIES_METABOLIC_PROCESS,GSE29618_PDC_VS_MDC_DAY7_FLU_VACCINE_UP
2472,GSE19923_WT_VS_HEB_AND_E2A_KO_DP_THYMOCYTE_UP,GO_MEMBRANE_DOCKING,GSE13485_CTRL_VS_DAY7_YF17D_VACCINE_PBMC_UP
2473,GSE40068_CXCR5NEG_BCL6NEG_CD4_TCELL_VS_CXCR5POS_BCL6NEG_TFH_UP,GSE360_LOW_DOSE_B_MALAYI_VS_M_TUBERCULOSIS_MAC_UP,GSE18791_CTRL_VS_NEWCASTLE_VIRUS_DC_12H_UP
2474,GO_REGULATION_OF_PHOSPHOLIPASE_ACTIVITY,GO_POSITIVE_REGULATION_OF_LEUKOCYTE_CHEMOTAXIS,GO_PHOTORECEPTOR_CELL_DIFFERENTIATION
2475,GSE2585_CTEC_VS_MTEC_THYMUS_UP,GSE1740_MCSF_VS_MCSF_AND_IFNG_DAY2_DERIVED_MACROPHAGE_UP,GSE27291_0H_VS_7D_STIM_GAMMADELTA_TCELL_UP
2476,GSE36888_UNTREATED_VS_IL2_TREATED_STAT5_AB_KNOCKIN_TCELL_17H_UP,GSE30083_SP1_VS_SP2_THYMOCYTE_UP,GSE39820_CTRL_VS_TGFBETA3_IL6_IL23A_CD4_TCELL_UP
2477,GSE12392_WT_VS_IFNB_KO_CD8A_NEG_SPLEEN_DC_UP,GSE25088_CTRL_VS_IL4_STIM_MACROPHAGE_UP,GO_NEGATIVE_REGULATION_OF_LIPID_METABOLIC_PROCESS
2478,GSE31082_DN_VS_DP_THYMOCYTE_UP,GSE16385_IFNG_TNF_VS_IL4_STIM_MACROPHAGE_UP,GSE29618_PRE_VS_DAY7_POST_LAIV_FLU_VACCINE_PDC_UP
